Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.059,25.682,98.83,5.4772e-05,0.4,0
1.308,25.7,98.872,5.5783e-05,0.4,0.08
2.037,25.7,98.871,5.521e-05,0.4,0.16
2.735,25.691,98.849,5.5543e-05,0.4,0.24
3.434,25.69,98.849,5.5543e-05,0.4,0.32
4.135,25.685,98.836,5.496e-05,0.4,0.4
4.843,25.681,98.826,5.5449e-05,0.4,0.48
5.545,25.688,98.843,5.5627e-05,0.4,0.56
6.246,25.687,98.841,5.4887e-05,0.4,0.64
6.935,25.685,98.836,5.5408e-05,0.4,0.72
7.671,25.684,98.833,5.4845e-05,0.4,0.8
8.369,25.681,98.827,5.5001e-05,0.4,0.88
9.085,25.683,98.83,5.521e-05,0.4,0.96
9.784,25.67,98.801,5.5001e-05,0.4,1.04
10.464,25.673,98.807,5.498e-05,0.4,1.12
11.195,25.673,98.807,5.5356e-05,0.4,1.2
11.883,25.664,98.787,5.5491e-05,0.4,1.28
12.575,25.666,98.793,5.5314e-05,0.4,1.36
13.258,25.657,98.771,5.5022e-05,0.4,1.44
13.987,25.665,98.79,5.5595e-05,0.4,1.52
14.667,25.656,98.768,5.572e-05,0.4,1.6
15.398,25.649,98.753,5.5293e-05,0.4,1.68
16.077,25.659,98.775,5.5762e-05,0.4,1.76
16.815,25.653,98.761,5.5397e-05,0.4,1.84
17.495,25.658,98.774,5.5095e-05,0.4,1.92
18.229,25.646,98.746,5.6106e-05,0.4,2
18.915,25.652,98.76,5.596e-05,0.4,2.08
19.638,25.651,98.756,5.6106e-05,0.4,2.16
20.329,25.647,98.748,5.7159e-05,0.4,2.24
21.05,25.645,98.743,5.6648e-05,0.4,2.32
21.736,25.633,98.715,5.7034e-05,0.4,2.4
22.469,25.636,98.721,5.7722e-05,0.4,2.48
23.158,25.638,98.727,5.7492e-05,0.4,2.56
23.839,25.639,98.73,5.8118e-05,0.4,2.64
24.564,25.638,98.726,5.9056e-05,0.4,2.72
25.261,25.637,98.724,5.8597e-05,0.4,2.8
25.98,25.634,98.717,5.9473e-05,0.4,2.88
26.675,25.627,98.7,6.0265e-05,0.4,2.96
27.392,25.62,98.685,5.989e-05,0.4,3.04
28.089,25.631,98.711,6.1328e-05,0.4,3.12
28.81,25.622,98.689,6.1849e-05,0.4,3.2
29.498,25.625,98.697,6.1734e-05,0.4,3.28
30.214,25.617,98.678,6.2329e-05,0.4,3.36
30.92,25.623,98.693,6.3454e-05,0.4,3.44
31.641,25.627,98.7,6.3256e-05,0.4,3.52
32.323,25.615,98.673,6.4267e-05,0.4,3.6
33.05,25.62,98.686,6.4215e-05,0.4,3.68
33.731,25.614,98.672,6.4893e-05,0.4,3.76
34.443,25.613,98.669,6.5851e-05,0.4,3.84
35.16,25.609,98.66,6.6393e-05,0.4,3.92
35.849,25.616,98.675,6.7029e-05,0.4,4
36.562,25.615,98.672,6.7873e-05,0.4,4.08
37.254,25.604,98.647,6.8718e-05,0.4,4.16
37.973,25.612,98.667,6.8686e-05,0.4,4.24
38.673,25.604,98.647,6.9562e-05,0.4,4.32
39.387,25.601,98.64,6.9927e-05,0.4,4.4
40.078,25.606,98.652,7.1073e-05,0.4,4.48
40.811,25.602,98.644,7.1876e-05,0.4,4.56
41.49,25.608,98.656,7.1907e-05,0.4,4.64
42.219,25.61,98.662,7.2314e-05,0.4,4.72
42.909,25.597,98.631,7.3887e-05,0.4,4.8
43.635,25.606,98.653,7.4544e-05,0.4,4.88
44.311,25.597,98.631,7.4794e-05,0.4,4.96
45.036,25.598,98.634,7.5618e-05,0.4,5.04
45.729,25.606,98.653,7.616e-05,0.4,5.12
46.455,25.594,98.625,7.7098e-05,0.4,5.2
47.134,25.596,98.63,7.8234e-05,0.4,5.28
47.889,25.6,98.638,7.8359e-05,0.4,5.36
48.585,25.592,98.619,7.8765e-05,0.4,5.44
49.285,25.6,98.638,7.9516e-05,0.4,5.52
49.998,25.604,98.647,8.0881e-05,0.4,5.6
50.688,25.593,98.623,8.1163e-05,0.4,5.68
51.426,25.599,98.636,8.2163e-05,0.4,5.76
52.098,25.594,98.625,8.3393e-05,0.4,5.84
52.828,25.593,98.621,8.3268e-05,0.4,5.92
53.525,25.592,98.62,8.4592e-05,0.4,6
54.251,25.593,98.623,8.5363e-05,0.4,6.08
54.94,25.6,98.638,8.5551e-05,0.4,6.16
55.664,25.587,98.609,8.6499e-05,0.4,6.24
56.359,25.595,98.627,8.7385e-05,0.4,6.32
57.045,25.587,98.607,8.7906e-05,0.4,6.4
