Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
3.954,24.477,96.003,-1.761e-06,0.03,0
5.087,24.486,96.024,-2.23e-06,0.03,0.03
6.095,24.479,96.008,-1.907e-06,0.03,0.06
7.083,24.486,96.025,-1.939e-06,0.03,0.09
8.05,24.488,96.028,-1.876e-06,0.03,0.12
9.008,24.485,96.023,-1.98e-06,0.03,0.15
10.005,24.488,96.028,-1.782e-06,0.03,0.18
10.981,24.471,95.99,-2.314e-06,0.03,0.21
11.955,24.478,96.005,-1.918e-06,0.03,0.24
12.907,24.486,96.025,-1.605e-06,0.03,0.27
13.859,24.48,96.009,-1.97e-06,0.03,0.3
14.84,24.48,96.011,-1.866e-06,0.03,0.33
15.837,24.484,96.021,-1.855e-06,0.03,0.36
16.822,24.478,96.005,-2.21e-06,0.03,0.39
17.808,24.471,95.989,-2.262e-06,0.03,0.42
18.794,24.485,96.023,-2.168e-06,0.03,0.45
19.763,24.478,96.006,-2.032e-06,0.03,0.48
20.732,24.485,96.022,-1.709e-06,0.03,0.51
21.7,24.484,96.021,-1.824e-06,0.03,0.54
22.655,24.482,96.015,-2.064e-06,0.03,0.57
23.646,24.476,96.002,-2.158e-06,0.03,0.6
24.625,24.477,96.005,-2.189e-06,0.03,0.63
25.614,24.484,96.02,-2.053e-06,0.03,0.66
26.593,24.467,95.98,-2.262e-06,0.03,0.69
27.547,24.475,95.999,-2.053e-06,0.03,0.72
28.535,24.476,96.001,-2.147e-06,0.03,0.75
29.518,24.482,96.015,-2.606e-06,0.03,0.78
30.503,24.483,96.018,-2.178e-06,0.03,0.81
31.493,24.469,95.985,-1.991e-06,0.03,0.84
32.478,24.48,96.011,-2.481e-06,0.03,0.87
33.45,24.475,95.998,-2.199e-06,0.03,0.9
34.397,24.477,96.004,-2.585e-06,0.03,0.93
35.355,24.469,95.986,-2.21e-06,0.03,0.96
36.33,24.473,95.993,-2.501e-06,0.03,0.99
37.287,24.472,95.993,-2.439e-06,0.03,1.02
38.274,24.465,95.975,-2.345e-06,0.03,1.05
39.277,24.481,96.012,-2.658e-06,0.03,1.08
40.262,24.48,96.01,-2.585e-06,0.03,1.11
41.246,24.472,95.992,-2.585e-06,0.03,1.14
42.2,24.478,96.005,-2.929e-06,0.03,1.17
43.157,24.478,96.007,-2.939e-06,0.03,1.2
44.127,24.472,95.992,-2.804e-06,0.03,1.23
45.115,24.477,96.004,-2.793e-06,0.03,1.26
46.097,24.475,96,-2.96e-06,0.03,1.29
47.088,24.466,95.978,-3.419e-06,0.03,1.32
48.052,24.474,95.996,-2.574e-06,0.03,1.35
49.036,24.477,96.003,-2.971e-06,0.03,1.38
49.997,24.474,95.996,-2.908e-06,0.03,1.41
50.985,24.47,95.988,-3.064e-06,0.03,1.44
51.969,24.464,95.973,-3.054e-06,0.03,1.47
52.936,24.473,95.995,-2.887e-06,0.03,1.5
53.887,24.465,95.976,-2.939e-06,0.03,1.53
54.845,24.469,95.985,-3.221e-06,0.03,1.56
55.829,24.461,95.967,-3.096e-06,0.03,1.59
56.817,24.473,95.995,-3.221e-06,0.03,1.62
57.822,24.468,95.982,-3.012e-06,0.03,1.65
58.78,24.475,95.998,-3.356e-06,0.03,1.68
59.759,24.475,95.998,-3.148e-06,0.03,1.71
60.71,24.459,95.961,-3.45e-06,0.03,1.74
61.678,24.473,95.995,-3.137e-06,0.03,1.77
