Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.574,24.909,97.008,0.00063678,0.03,0
1.596,24.911,97.013,0.00065733,0.03,0.08
2.566,24.902,96.991,0.00069666,0.03,0.16
3.511,24.91,97.011,0.0007398,0.03,0.24
4.489,24.895,96.976,0.0007874,0.03,0.32
5.437,24.91,97.01,0.00084099,0.03,0.4
6.397,24.911,97.012,0.00090193,0.03,0.48
7.375,24.91,97.011,0.00097222,0.03,0.56
8.361,24.912,97.014,0.0010536,0.03,0.64
9.305,24.905,96.998,0.0011456,0.03,0.72
10.256,24.91,97.011,0.0012469,0.03,0.8
11.232,24.906,97.001,0.0013532,0.03,0.88
12.183,24.905,96.999,0.0014627,0.03,0.96
13.134,24.912,97.016,0.001573,0.03,1.04
14.098,24.911,97.012,0.0016835,0.03,1.12
15.049,24.897,96.981,0.0017944,0.03,1.2
16.005,24.905,97,0.001907,0.03,1.28
16.968,24.903,96.995,0.00202,0.03,1.36
17.953,24.911,97.013,0.0021331,0.03,1.44
18.907,24.913,97.017,0.0022476,0.03,1.52
19.86,24.904,96.996,0.0023626,0.03,1.6
20.814,24.907,97.002,0.0024786,0.03,1.68
21.775,24.907,97.004,0.0025938,0.03,1.76
22.73,24.911,97.012,0.0027101,0.03,1.84
23.687,24.916,97.024,0.0028268,0.03,1.92
24.673,24.906,97.001,0.0029417,0.03,2
25.663,24.912,97.016,0.0030577,0.03,2.08
26.62,24.914,97.02,0.0031742,0.03,2.16
27.572,24.898,96.983,0.0032902,0.03,2.24
28.524,24.911,97.012,0.0034067,0.03,2.32
29.473,24.905,96.998,0.0035227,0.03,2.4
30.434,24.909,97.008,0.0036378,0.03,2.48
31.388,24.905,96.999,0.0037523,0.03,2.56
32.35,24.903,96.993,0.0038675,0.03,2.64
33.292,24.917,97.028,0.0039841,0.03,2.72
34.247,24.901,96.989,0.0040987,0.03,2.8
35.209,24.9,96.987,0.004214,0.03,2.88
36.199,24.917,97.028,0.0043298,0.03,2.96
37.15,24.914,97.02,0.0044446,0.03,3.04
38.117,24.918,97.03,0.0045605,0.03,3.12
39.061,24.911,97.013,0.0046751,0.03,3.2
40.013,24.916,97.024,0.0047883,0.03,3.28
40.973,24.915,97.022,0.0049032,0.03,3.36
41.971,24.918,97.028,0.0050182,0.03,3.44
42.949,24.918,97.028,0.0051335,0.03,3.52
43.898,24.913,97.017,0.0052479,0.03,3.6
44.862,24.911,97.012,0.0053613,0.03,3.68
45.81,24.919,97.031,0.0054749,0.03,3.76
46.774,24.917,97.027,0.0055876,0.03,3.84
47.727,24.905,96.999,0.0057069,0.03,3.92
48.686,24.903,96.995,0.0058224,0.03,4
