Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.568,25.652,98.759,0.00015341,0.08,0.1
1.589,25.655,98.766,0.00020758,0.08,0.1
2.484,25.653,98.761,0.00015367,0.08,0.0995
3.454,25.648,98.75,0.00020721,0.08,0.0995
4.358,25.646,98.746,0.00015388,0.08,0.099
5.329,25.655,98.766,0.00020737,0.08,0.099
6.226,25.655,98.767,0.00015424,0.08,0.0985
7.22,25.646,98.745,0.00020782,0.08,0.0985
8.133,25.649,98.752,0.00015462,0.08,0.098
9.132,25.649,98.753,0.00020763,0.08,0.098
10.046,25.655,98.766,0.00015487,0.08,0.0975
11.024,25.656,98.768,0.00020752,0.08,0.0975
11.926,25.655,98.767,0.00015498,0.08,0.097
12.89,25.655,98.766,0.00020753,0.08,0.097
13.791,25.653,98.761,0.0001555,0.08,0.0965
14.753,25.65,98.754,0.00020718,0.08,0.0965
15.638,25.643,98.737,0.00015584,0.08,0.096
16.627,25.655,98.767,0.0002073,0.08,0.096
17.519,25.643,98.737,0.0001558,0.08,0.0955
18.477,25.647,98.747,0.00020765,0.08,0.0955
19.523,25.655,98.767,0.00015615,0.08,0.095
20.477,25.647,98.749,0.00020762,0.08,0.095
21.383,25.656,98.768,0.00015675,0.08,0.0945
22.384,25.655,98.767,0.00020751,0.08,0.0945
23.302,25.653,98.762,0.00015704,0.08,0.094
24.287,25.656,98.768,0.00020747,0.08,0.094
25.197,25.646,98.745,0.00015727,0.08,0.0935
26.183,25.656,98.769,0.00020762,0.08,0.0935
27.074,25.651,98.758,0.00015773,0.08,0.093
28.057,25.649,98.752,0.00020752,0.08,0.093
28.946,25.657,98.77,0.00015778,0.08,0.0925
29.962,25.653,98.762,0.00020759,0.08,0.0925
30.864,25.657,98.772,0.00015819,0.08,0.092
31.85,25.658,98.774,0.00020761,0.08,0.092
32.767,25.657,98.771,0.00015847,0.08,0.0915
33.763,25.647,98.747,0.00020759,0.08,0.0915
34.674,25.653,98.761,0.00015879,0.08,0.091
35.672,25.658,98.772,0.00020761,0.08,0.091
36.587,25.656,98.769,0.0001589,0.08,0.0905
37.568,25.656,98.768,0.00020752,0.08,0.0905
38.455,25.651,98.758,0.00015908,0.08,0.09
39.426,25.657,98.77,0.00020754,0.08,0.09
40.335,25.65,98.754,0.0001595,0.08,0.0895
41.295,25.65,98.755,0.00020754,0.08,0.0895
42.202,25.646,98.745,0.00015977,0.08,0.089
43.203,25.652,98.759,0.00020748,0.08,0.089
44.117,25.65,98.756,0.00016007,0.08,0.0885
54.076,25.654,98.764,0.00020757,0.08,0.0885
54.976,25.644,98.741,0.0001602,0.08,0.088
55.974,25.647,98.747,0.00020768,0.08,0.088
56.894,25.644,98.74,0.00016082,0.08,0.0875
