Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.578,24.603,96.297,4.9363e-05,0,5.5
1.973,24.603,96.297,4.9634e-05,0.003,5.5
3.11,24.585,96.255,4.9425e-05,0.006,5.5
4.252,24.599,96.287,4.9196e-05,0.009,5.5
5.387,24.597,96.284,4.9571e-05,0.012,5.5
6.486,24.597,96.284,4.931e-05,0.015,5.5
7.595,24.596,96.28,4.9175e-05,0.018,5.5
8.699,24.605,96.3,4.9456e-05,0.021,5.5
9.826,24.604,96.299,4.9081e-05,0.024,5.5
10.972,24.598,96.285,4.9227e-05,0.027,5.5
12.103,24.606,96.303,4.9884e-05,0.03,5.5
13.241,24.608,96.308,4.9321e-05,0.033,5.5
14.369,24.608,96.309,4.8998e-05,0.036,5.5
15.527,24.606,96.303,4.9581e-05,0.039,5.5
16.618,24.602,96.294,4.9634e-05,0.042,5.5
17.735,24.604,96.298,4.9404e-05,0.045,5.5
18.824,24.601,96.291,4.9185e-05,0.048,5.5
19.931,24.606,96.304,4.9498e-05,0.051,5.5
21.025,24.602,96.293,4.9581e-05,0.054,5.5
22.133,24.608,96.308,4.9456e-05,0.057,5.5
23.237,24.603,96.297,4.9404e-05,0.06,5.5
24.332,24.607,96.306,4.9164e-05,0.063,5.5
25.439,24.604,96.298,4.906e-05,0.066,5.5
26.546,24.596,96.281,4.8966e-05,0.069,5.5
27.651,24.611,96.315,4.9227e-05,0.072,5.5
28.755,24.611,96.315,4.929e-05,0.075,5.5
29.861,24.603,96.297,4.9029e-05,0.078,5.5
30.994,24.61,96.313,4.9279e-05,0.081,5.5
32.129,24.6,96.289,4.9196e-05,0.084,5.5
33.261,24.607,96.305,4.9404e-05,0.087,5.5
34.361,24.607,96.306,4.9529e-05,0.09,5.5
35.467,24.606,96.303,4.905e-05,0.093,5.5
36.574,24.617,96.329,4.9175e-05,0.096,5.5
37.676,24.615,96.324,4.954e-05,0.099,5.5
38.788,24.609,96.309,4.931e-05,0.102,5.5
39.876,24.617,96.329,4.9258e-05,0.105,5.5
40.983,24.615,96.325,4.8821e-05,0.108,5.5
42.089,24.609,96.312,4.9373e-05,0.111,5.5
43.194,24.599,96.288,4.9227e-05,0.114,5.5
44.286,24.615,96.323,4.9477e-05,0.117,5.5
45.403,24.615,96.325,4.9237e-05,0.12,5.5
46.54,24.62,96.335,4.9123e-05,0.123,5.5
47.647,24.619,96.335,4.8883e-05,0.126,5.5
48.746,24.618,96.332,4.8987e-05,0.129,5.5
49.877,24.602,96.295,4.9227e-05,0.132,5.5
51.007,24.617,96.329,4.929e-05,0.135,5.5
52.148,24.619,96.334,4.9373e-05,0.138,5.5
53.288,24.619,96.334,4.9206e-05,0.141,5.5
54.416,24.613,96.319,4.9102e-05,0.144,5.5
55.565,24.621,96.337,4.9071e-05,0.147,5.5
56.695,24.613,96.32,4.931e-05,0.15,5.5
57.834,24.614,96.321,4.929e-05,0.153,5.5
58.964,24.623,96.343,4.9185e-05,0.156,5.5
60.072,24.621,96.338,4.9185e-05,0.159,5.5
61.181,24.607,96.306,4.9269e-05,0.162,5.5
62.286,24.623,96.343,4.9394e-05,0.165,5.5
63.417,24.617,96.328,4.9227e-05,0.168,5.5
64.556,24.615,96.324,4.9081e-05,0.171,5.5
65.668,24.622,96.34,4.9123e-05,0.174,5.5
66.793,24.621,96.338,4.931e-05,0.177,5.5
67.926,24.624,96.346,4.9269e-05,0.18,5.5
69.063,24.619,96.333,4.9144e-05,0.183,5.5
70.166,24.624,96.346,4.9363e-05,0.186,5.5
71.302,24.61,96.313,4.9237e-05,0.189,5.5
72.44,24.62,96.336,4.9175e-05,0.192,5.5
73.569,24.625,96.349,4.8925e-05,0.195,5.5
74.716,24.622,96.34,4.9342e-05,0.198,5.5
75.849,24.626,96.35,4.9363e-05,0.201,5.5
76.954,24.63,96.358,4.9258e-05,0.204,5.5
78.076,24.629,96.357,4.9144e-05,0.207,5.5
79.182,24.621,96.338,4.8987e-05,0.21,5.5
80.29,24.632,96.365,4.9404e-05,0.213,5.5
81.401,24.623,96.343,4.9373e-05,0.216,5.5
82.501,24.623,96.343,4.9435e-05,0.219,5.5
83.599,24.632,96.363,4.9435e-05,0.222,5.5
84.7,24.634,96.368,4.9217e-05,0.225,5.5
85.813,24.633,96.366,4.955e-05,0.228,5.5
86.915,24.633,96.365,4.9383e-05,0.231,5.5
88.018,24.631,96.362,4.98e-05,0.234,5.5
89.113,24.617,96.33,4.9696e-05,0.237,5.5
90.211,24.628,96.354,4.9644e-05,0.24,5.5
91.32,24.635,96.37,4.9227e-05,0.243,5.5
92.428,24.627,96.351,4.9519e-05,0.246,5.5
93.526,24.637,96.376,4.9467e-05,0.249,5.5
94.639,24.638,96.379,4.9602e-05,0.252,5.5
95.772,24.63,96.36,4.9508e-05,0.255,5.5
96.87,24.631,96.362,4.9842e-05,0.258,5.5
98.01,24.632,96.364,4.9519e-05,0.261,5.5
99.101,24.64,96.382,4.9623e-05,0.264,5.5
100.22,24.635,96.37,4.9915e-05,0.267,5.5
101.34,24.632,96.364,4.9602e-05,0.27,5.5
102.49,24.644,96.393,4.9905e-05,0.273,5.5
103.58,24.643,96.391,4.9936e-05,0.276,5.5
104.69,24.645,96.394,4.9957e-05,0.279,5.5
105.8,24.637,96.376,4.9905e-05,0.282,5.5
106.89,24.641,96.386,5.0165e-05,0.285,5.5
108.01,24.647,96.398,5.077e-05,0.288,5.5
109.13,24.645,96.394,5.0103e-05,0.291,5.5
110.27,24.646,96.396,5.0707e-05,0.294,5.5
111.41,24.64,96.383,5.0332e-05,0.297,5.5
112.55,24.632,96.363,5.0572e-05,0.3,5.5
113.68,24.641,96.384,5.0634e-05,0.303,5.5
114.82,24.649,96.404,5.0707e-05,0.306,5.5
115.95,24.648,96.401,5.0686e-05,0.309,5.5
117.06,24.651,96.407,5.0572e-05,0.312,5.5
118.16,24.653,96.412,5.0947e-05,0.315,5.5
119.27,24.652,96.41,5.0968e-05,0.318,5.5
120.37,24.643,96.391,5.0968e-05,0.321,5.5
121.48,24.651,96.408,5.0947e-05,0.324,5.5
122.58,24.652,96.41,5.1009e-05,0.327,5.5
123.68,24.656,96.419,5.1259e-05,0.33,5.5
124.79,24.647,96.4,5.1374e-05,0.333,5.5
125.93,24.649,96.403,5.1385e-05,0.336,5.5
127.05,24.64,96.383,5.1155e-05,0.339,5.5
128.15,24.641,96.384,5.1645e-05,0.342,5.5
129.26,24.649,96.404,5.1489e-05,0.345,5.5
130.36,24.66,96.428,5.1708e-05,0.348,5.5
131.46,24.658,96.425,5.1947e-05,0.351,5.5
132.56,24.662,96.434,5.1979e-05,0.354,5.5
133.67,24.654,96.414,5.2552e-05,0.357,5.5
134.77,24.655,96.417,5.2302e-05,0.36,5.5
135.88,24.662,96.434,5.2687e-05,0.363,5.5
137.01,24.656,96.42,5.2844e-05,0.366,5.5
138.15,24.662,96.434,5.2646e-05,0.369,5.5
139.3,24.654,96.415,5.3052e-05,0.372,5.5
140.43,24.664,96.438,5.2802e-05,0.375,5.5
141.55,24.666,96.444,5.2833e-05,0.378,5.5
142.7,24.659,96.428,5.3448e-05,0.381,5.5
143.83,24.67,96.452,5.3198e-05,0.384,5.5
144.97,24.671,96.454,5.3334e-05,0.387,5.5
146.1,24.662,96.435,5.3584e-05,0.39,5.5
147.23,24.668,96.449,5.3865e-05,0.393,5.5
148.36,24.664,96.439,5.4042e-05,0.396,5.5
149.52,24.665,96.44,5.4136e-05,0.399,5.5
150.61,24.658,96.424,5.4199e-05,0.402,5.5
151.75,24.66,96.429,5.4313e-05,0.405,5.5
152.89,24.667,96.446,5.4553e-05,0.408,5.5
154.04,24.671,96.455,5.4564e-05,0.411,5.5
155.16,24.669,96.449,5.4751e-05,0.414,5.5
156.3,24.669,96.449,5.5147e-05,0.417,5.5
157.39,24.674,96.462,5.4991e-05,0.42,5.5
158.53,24.679,96.474,5.5178e-05,0.423,5.5
159.65,24.679,96.474,5.5512e-05,0.426,5.5
160.77,24.675,96.464,5.5543e-05,0.429,5.5
161.87,24.682,96.48,5.571e-05,0.432,5.5
162.98,24.671,96.455,5.6127e-05,0.435,5.5
164.12,24.669,96.449,5.62e-05,0.438,5.5
165.26,24.675,96.465,5.6481e-05,0.441,5.5
166.39,24.675,96.465,5.6586e-05,0.444,5.5
167.53,24.682,96.48,5.6836e-05,0.447,5.5
168.67,24.683,96.482,5.7013e-05,0.45,5.5
