Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.431,25.409,98.195,5.4772e-05,0.4,0
1.347,25.382,98.132,5.4647e-05,0.4,0.08
2.074,25.375,98.115,5.4782e-05,0.4,0.16
2.814,25.373,98.108,5.4741e-05,0.4,0.24
3.543,25.385,98.139,5.4855e-05,0.4,0.32
4.251,25.377,98.118,5.4897e-05,0.4,0.4
4.978,25.376,98.117,5.5012e-05,0.4,0.48
5.688,25.377,98.118,5.4657e-05,0.4,0.56
6.376,25.374,98.112,5.4491e-05,0.4,0.64
7.089,25.386,98.141,5.5001e-05,0.4,0.72
7.808,25.379,98.123,5.4647e-05,0.4,0.8
8.548,25.389,98.148,5.4897e-05,0.4,0.88
9.243,25.388,98.146,5.4532e-05,0.4,0.96
9.952,25.379,98.123,5.4845e-05,0.4,1.04
10.647,25.384,98.137,5.4793e-05,0.4,1.12
11.372,25.385,98.138,5.4741e-05,0.4,1.2
12.054,25.379,98.124,5.497e-05,0.4,1.28
12.744,25.387,98.142,5.4741e-05,0.4,1.36
13.445,25.377,98.119,5.4709e-05,0.4,1.44
14.138,25.387,98.142,5.4605e-05,0.4,1.52
14.862,25.38,98.125,5.5053e-05,0.4,1.6
15.544,25.381,98.128,5.4907e-05,0.4,1.68
16.277,25.387,98.144,5.4803e-05,0.4,1.76
16.952,25.38,98.127,5.4751e-05,0.4,1.84
17.691,25.378,98.121,5.4855e-05,0.4,1.92
18.381,25.391,98.152,5.5116e-05,0.4,2
19.093,25.39,98.151,5.4928e-05,0.4,2.08
19.782,25.376,98.117,5.5095e-05,0.4,2.16
20.509,25.385,98.138,5.521e-05,0.4,2.24
21.194,25.38,98.127,5.572e-05,0.4,2.32
21.899,25.387,98.142,5.5846e-05,0.4,2.4
22.618,25.387,98.143,5.572e-05,0.4,2.48
23.313,25.38,98.126,5.5887e-05,0.4,2.56
24.023,25.376,98.116,5.6669e-05,0.4,2.64
24.723,25.387,98.144,5.6544e-05,0.4,2.72
25.442,25.379,98.125,5.6961e-05,0.4,2.8
26.128,25.385,98.138,5.7096e-05,0.4,2.88
26.863,25.387,98.143,5.7617e-05,0.4,2.96
27.538,25.381,98.128,5.7774e-05,0.4,3.04
28.264,25.384,98.135,5.7972e-05,0.4,3.12
28.959,25.386,98.141,5.8576e-05,0.4,3.2
29.685,25.389,98.147,5.8743e-05,0.4,3.28
30.365,25.384,98.137,5.9129e-05,0.4,3.36
31.096,25.38,98.125,5.9608e-05,0.4,3.44
31.778,25.393,98.158,5.9983e-05,0.4,3.52
32.501,25.383,98.132,6.0661e-05,0.4,3.6
33.229,25.385,98.138,6.1057e-05,0.4,3.68
33.916,25.391,98.152,6.1432e-05,0.4,3.76
34.635,25.383,98.134,6.1985e-05,0.4,3.84
35.34,25.386,98.14,6.237e-05,0.4,3.92
36.06,25.385,98.138,6.3089e-05,0.4,4
36.742,25.388,98.144,6.3173e-05,0.4,4.08
37.436,25.384,98.137,6.385e-05,0.4,4.16
38.134,25.386,98.141,6.4153e-05,0.4,4.24
38.851,25.391,98.153,6.4851e-05,0.4,4.32
39.542,25.384,98.137,6.5351e-05,0.4,4.4
40.261,25.383,98.133,6.606e-05,0.4,4.48
40.94,25.392,98.154,6.6675e-05,0.4,4.56
41.678,25.394,98.159,6.6894e-05,0.4,4.64
42.357,25.381,98.129,6.729e-05,0.4,4.72
43.1,25.388,98.144,6.8186e-05,0.4,4.8
43.809,25.394,98.16,6.8957e-05,0.4,4.88
44.522,25.394,98.158,6.951e-05,0.4,4.96
45.211,25.398,98.168,6.9885e-05,0.4,5.04
45.942,25.389,98.148,7.0344e-05,0.4,5.12
46.626,25.393,98.158,7.1136e-05,0.4,5.2
47.354,25.397,98.167,7.2199e-05,0.4,5.28
48.036,25.389,98.148,7.2032e-05,0.4,5.36
48.768,25.387,98.143,7.2783e-05,0.4,5.44
49.454,25.394,98.16,7.3814e-05,0.4,5.52
50.179,25.388,98.144,7.4023e-05,0.4,5.6
50.909,25.39,98.15,7.4951e-05,0.4,5.68
51.594,25.393,98.157,7.5388e-05,0.4,5.76
52.326,25.4,98.173,7.6107e-05,0.4,5.84
53.018,25.383,98.133,7.6493e-05,0.4,5.92
53.736,25.388,98.146,7.7619e-05,0.4,6
54.425,25.396,98.164,7.838e-05,0.4,6.08
55.146,25.39,98.149,7.8588e-05,0.4,6.16
55.835,25.396,98.164,7.9193e-05,0.4,6.24
56.567,25.393,98.158,8.0037e-05,0.4,6.32
57.25,25.39,98.15,8.1163e-05,0.4,6.4
